name,cost_per_one,metric,measure_by_quantity,category_id,
Mixed fruit berries,€0.01000,g,FALSE,4
Mumbai Mix case,€0.79200,g,FALSE,4
Oranges,€0.87000,g,TRUE,4
Passion4€0.80000,g,TRUE,4
Paw Paw,€0.85000,g,FALSE,4
Peach,€0.08500,g,FALSE,4
Pineapple,€1.30000,g,TRUE,4
Plum,€0.24300,g,TRUE,4
Raspberries,€0.01600,g,FALSE,4
Coulis ,€0.02300,g,FALSE,4
Red Currants,€0.07790,g,FALSE,4
Rhubarb,€0.79000,g,TRUE,4
"Cashews, salted",€0.18050,g,FALSE,4
Satsuma,€0.00130,g,FALSE,4
Star4€0.02700,g,FALSE,4
Strawberries,€0.01530,g,FALSE,4
Wasabi Peas Good ,€0.66700,g,FALSE,4
Water Melon,€3.20000,g,TRUE,4
Yoghurt Raisins case,€0.66700,g,FALSE,4
Bread,€0.04300,g,TRUE,2,
"Bread, Brown  ",€0.02900,g,FALSE,2,
Cous cous,€0.00650,g,FALSE,2,
Gnocchi ,€0.00200,g,FALSE,2,
Lentils,€0.00570,g,FALSE,2,
Noodles,€0.00930,g,FALSE,2,
Pasta ,€0.04200,g,FALSE,2,
"Pasta, Fusilli ",€0.00190,g,FALSE,2,
"Pasta, Linguine",€0.00270,g,FALSE,2,
"Pasta, Macaroni ",€0.00190,g,FALSE,2,
"Pasta, Penne",€0.00190,g,FALSE,2,
"Pasta, Sheets",€0.00450,g,FALSE,2,
"Pasta, Spagetti ",€0.00270,g,FALSE,2,
Rice,€0.02200,g,FALSE,2,
"Rice, Basmati ",€0.00870,g,FALSE,2,
"Rice, Risotto ",€0.04300,g,FALSE,2,
"Sauce, Cheese",€0.00600,g,FALSE,2,
"Sauce, Curry",€0.00750,g,FALSE,2,
"Sauce, Horseradish",€0.08200,g,FALSE,2,
"Sauce, Mustard ",€0.01100,g,FALSE,2,
"Sauce, Tartar ",€0.08200,g,FALSE,2,
"Sauce, Tomato ",€0.06100,g,FALSE,2,
Porridge,€0.00183,g,FALSE,2,
Basil ,€0.0195,g,FALSE,6,
Bay Leaf ,€0.1041,g,FALSE,6,
Chervil,€0.0785,g,FALSE,6,
Chives,€0.0440,g,FALSE,6,
Coriander,€0.0100,g,FALSE,6,
Dill,€0.1041,g,FALSE,6,
Garnish,€0.0050,g,FALSE,6,
Lemon grass,€0.0440,g,TRUE,6,
Oregano,€0.0800,g,FALSE,6,
Parsley ,€0.0123,g,FALSE,6,
Rosemary ,€0.0120,g,FALSE,6,
Sage,€0.0195,g,FALSE,6,
Tarragon ,€0.0120,g,FALSE,6,
Thyme,€0.0120,g,FALSE,6,
